pattern,transformation,instances,consistency,confidence
FW-DEL::ABSENT→ADP-DEL::None::None::None,ADP-DEL,334,1.0,1.0
DEP-REL-CHG::compound→case::None::None::None,case,306,1.0,1.0
DEP-REL-CHG::case→root::None::None::None,root,286,1.0,1.0
DEP-REL-CHG::compound→det::None::None::None::None,det,272,1.0,1.0
DEP-REL-CHG::compound→det::None::None::None::None::None::None::None::None::None::None,det,272,1.0,1.0
DEP-REL-CHG::nsubj→det::None::None::None,det,272,1.0,1.0
DEP-REL-CHG::nmod→case::None::None::None,case,270,1.0,1.0
C-DEL::ABSENT→VERB-DEL::None::None::None::None,VERB-DEL,264,1.0,1.0
C-DEL::ABSENT→VERB-DEL::None::None::None::None::None::None::None::None::None::None,VERB-DEL,264,1.0,1.0
CONST-REM::ABSENT→SBAR-REM::None::None::None,SBAR-REM,260,1.0,1.0
CLAUSE-TYPE-CHG::Ger→Fin::None::None::None,Fin,232,1.0,1.0
DEP-REL-CHG::case→det::None::None::None,det,230,1.0,1.0
FW-DEL::ABSENT→PRON-PERS-DEL::None::None::None,PRON-PERS-DEL,222,1.0,1.0
DEP-REL-CHG::punct→obl::None::None::None,obl,214,1.0,1.0
DEP-REL-CHG::root→nsubj::None::None::None::None,nsubj,212,1.0,1.0
DEP-REL-CHG::root→nsubj::None::None::None::None::None::None::None::None::None::None,nsubj,212,1.0,1.0
DEP-REL-CHG::case→obj::None::None::None,obj,212,1.0,1.0
C-DEL::ABSENT→ADJ-DEL::None::None::None,ADJ-DEL,212,1.0,1.0
DEP-REL-CHG::nsubj→compound::None::None::None,compound,208,1.0,1.0
DEP-REL-CHG::obj→root::None::None::None,root,208,1.0,1.0
FW-DEL::ABSENT→SCONJ-DEL::None::None::None,SCONJ-DEL,202,1.0,1.0
FW-DEL::ABSENT→CCONJ-DEL::None::None::None,CCONJ-DEL,196,1.0,1.0
TED-KLEIN::10→10::None::None::None,10,190,1.0,1.0
DEP-REL-CHG::amod→det::None::None::None,det,188,1.0,1.0
C-ADD::VERB-ADD→ABSENT::None::None::None,ABSENT,186,1.0,1.0
DEP-REL-CHG::root→aux::None::None::None::None,aux,176,1.0,1.0
DEP-REL-CHG::root→aux::None::None::None::None::None::None::None::None::None::None,aux,176,1.0,1.0
DEP-REL-CHG::punct→case::None::None::None,case,172,1.0,1.0
DEP-REL-CHG::amod→case::None::None::None,case,168,1.0,1.0
DEP-REL-CHG::compound→punct::None::None::None,punct,168,1.0,1.0
DEP-REL-CHG::obl→case::None::None::None::None,case,167,1.0,1.0
DEP-REL-CHG::obl→case::None::None::None::None::None::None::None::None::None::None,case,167,1.0,1.0
FW-DEL::ABSENT→ADP-DEL::None::None::None::None,ADP-DEL,167,1.0,1.0
FW-DEL::ABSENT→ADP-DEL::None::None::None::None::None::None::None::None::None::None,ADP-DEL,167,1.0,1.0
DEP-REL-CHG::obj→compound::None::None::None,compound,166,1.0,1.0
DEP-REL-CHG::case→compound::None::None::None,compound,162,1.0,1.0
TED-KLEIN::14→14::None::None::None,14,162,1.0,1.0
DEP-REL-CHG::root→case::None::None::None,case,160,1.0,1.0
FW-ADD::ADP-ADD→ABSENT::None::None::None,ABSENT,158,1.0,1.0
DEP-REL-CHG::obl→det::None::None::None,det,156,1.0,1.0
DEP-REL-CHG::compound→case::None::None::None::None,case,153,1.0,1.0
DEP-REL-CHG::compound→case::None::None::None::None::None::None::None::None::None::None,case,153,1.0,1.0
TED-KLEIN::16→16::None::None::None,16,152,1.0,1.0
CLAUSE-TYPE-CHG::Fin→Ger::None::None::None,Ger,152,1.0,1.0
DEP-REL-CHG::punct→compound::None::None::None,compound,152,1.0,1.0
DEP-REL-CHG::compound→root::None::None::None,root,150,1.0,1.0
TED-KLEIN::12→12::None::None::None,12,150,1.0,1.0
DEP-REL-CHG::obj→det::None::None::None,det,146,1.0,1.0
DEP-REL-CHG::punct→det::None::None::None,det,144,1.0,1.0
DEP-REL-CHG::root→det::None::None::None,det,144,1.0,1.0
DEP-REL-CHG::case→root::None::None::None::None,root,143,1.0,1.0
DEP-REL-CHG::case→root::None::None::None::None::None::None::None::None::None::None,root,143,1.0,1.0
DEP-REL-CHG::case→nsubj::None::None::None,nsubj,142,1.0,1.0
DEP-REL-CHG::nsubj→det::None::None::None::None,det,136,1.0,1.0
DEP-REL-CHG::nsubj→det::None::None::None::None::None::None::None::None::None::None,det,136,1.0,1.0
DEP-REL-CHG::nmod→case::None::None::None::None,case,135,1.0,1.0
DEP-REL-CHG::nmod→case::None::None::None::None::None::None::None::None::None::None,case,135,1.0,1.0
DEP-REL-CHG::obl→compound::None::None::None,compound,132,1.0,1.0
DEP-REL-CHG::mark→aux::None::None::None,aux,132,1.0,1.0
CONST-REM::ABSENT→SBAR-REM::None::None::None::None,SBAR-REM,130,1.0,1.0
CONST-REM::ABSENT→SBAR-REM::None::None::None::None::None::None::None::None::None::None,SBAR-REM,130,1.0,1.0
DEP-REL-CHG::case→aux::None::None::None,aux,130,1.0,1.0
DEP-REL-CHG::compound→amod::None::None::None,amod,128,1.0,1.0
DEP-REL-CHG::root→nsubj:pass::None::None::None,nsubj:pass,126,1.0,1.0
DEP-REL-CHG::nmod→det::None::None::None,det,124,1.0,1.0
TED-RTED::11→11::None::None::None,11,122,1.0,1.0
TED-RTED::8→8::None::None::None,8,122,1.0,1.0
DEP-REL-CHG::compound→nsubj::None::None::None,nsubj,120,1.0,1.0
DEP-REL-CHG::case→aux:pass::None::None::None,aux:pass,120,1.0,1.0
CLAUSE-TYPE-CHG::Ger→Fin::None::None::None::None,Fin,116,1.0,1.0
CLAUSE-TYPE-CHG::Ger→Fin::None::None::None::None::None::None::None::None::None::None,Fin,116,1.0,1.0
HEAD-CHG::2→3::None::None::None,3,116,1.0,1.0
DEP-REL-CHG::case→obl::None::None::None,obl,116,1.0,1.0
C-ADD::ADJ-ADD→ABSENT::None::None::None,ABSENT,116,1.0,1.0
DEP-REL-CHG::case→det::None::None::None::None,det,115,1.0,1.0
DEP-REL-CHG::case→det::None::None::None::None::None::None::None::None::None::None,det,115,1.0,1.0
DEP-REL-CHG::nsubj→amod::None::None::None,amod,114,1.0,1.0
DEP-REL-CHG::amod→punct::None::None::None,punct,114,1.0,1.0
DEP-REL-CHG::amod→root::None::None::None,root,114,1.0,1.0
DEP-REL-CHG::case→nmod:poss::None::None::None,nmod:poss,114,1.0,1.0
DEP-REL-CHG::obl→root::None::None::None,root,114,1.0,1.0
DEP-REL-CHG::root→compound::None::None::None,compound,112,1.0,1.0
FW-DEL::ABSENT→PRON-PERS-DEL::None::None::None::None,PRON-PERS-DEL,111,1.0,1.0
FW-DEL::ABSENT→PRON-PERS-DEL::None::None::None::None::None::None::None::None::None::None,PRON-PERS-DEL,111,1.0,1.0
DEP-REL-CHG::punct→obl::None::None::None::None,obl,107,1.0,1.0
DEP-REL-CHG::punct→obl::None::None::None::None::None::None::None::None::None::None,obl,107,1.0,1.0
TED-RTED::13→13::None::None::None,13,106,1.0,1.0
DEP-REL-CHG::case→obj::None::None::None::None,obj,106,1.0,1.0
DEP-REL-CHG::case→obj::None::None::None::None::None::None::None::None::None::None,obj,106,1.0,1.0
TED-KLEIN::18→18::None::None::None,18,106,1.0,1.0
C-DEL::ABSENT→ADJ-DEL::None::None::None::None,ADJ-DEL,106,1.0,1.0
C-DEL::ABSENT→ADJ-DEL::None::None::None::None::None::None::None::None::None::None,ADJ-DEL,106,1.0,1.0
TED-RTED::12→12::None::None::None,12,106,1.0,1.0
DEP-REL-CHG::nsubj→compound::None::None::None::None,compound,104,1.0,1.0
DEP-REL-CHG::nsubj→compound::None::None::None::None::None::None::None::None::None::None,compound,104,1.0,1.0
DEP-REL-CHG::obj→root::None::None::None::None,root,104,1.0,1.0
DEP-REL-CHG::obj→root::None::None::None::None::None::None::None::None::None::None,root,104,1.0,1.0
TED-ZHANG-SHASHA::8→8::None::None::None,8,104,1.0,1.0
DEP-REL-CHG::case→amod::None::None::None,amod,104,1.0,1.0
TED-ZHANG-SHASHA::10→10::None::None::None,10,102,1.0,1.0
DEP-REL-CHG::case→nsubj:pass::None::None::None,nsubj:pass,102,1.0,1.0
DEP-REL-CHG::obj→aux::None::None::None,aux,102,1.0,1.0
DEP-REL-CHG::nmod→compound::None::None::None,compound,102,1.0,1.0
DEP-REL-CHG::case→punct::None::None::None,punct,102,1.0,1.0
TED-RTED::10→10::None::None::None,10,102,1.0,1.0
FW-DEL::ABSENT→SCONJ-DEL::None::None::None::None,SCONJ-DEL,101,1.0,1.0
FW-DEL::ABSENT→SCONJ-DEL::None::None::None::None::None::None::None::None::None::None,SCONJ-DEL,101,1.0,1.0
TED-RTED::16→16::None::None::None,16,100,1.0,1.0
TED-ZHANG-SHASHA::11→11::None::None::None,11,100,1.0,1.0
TED-ZHANG-SHASHA::15→15::None::None::None,15,100,1.0,1.0
TED-RTED::15→15::None::None::None,15,100,1.0,1.0
DEP-REL-CHG::obl→obj::None::None::None,obj,100,1.0,1.0
TED-RTED::14→14::None::None::None,14,100,1.0,1.0
DEP-REL-CHG::nsubj→punct::None::None::None,punct,98,1.0,1.0
CLAUSE-TYPE-CHG::verbless→verbal::None::None::None,verbal,98,1.0,1.0
FW-DEL::ABSENT→CCONJ-DEL::None::None::None::None,CCONJ-DEL,98,1.0,1.0
FW-DEL::ABSENT→CCONJ-DEL::None::None::None::None::None::None::None::None::None::None,CCONJ-DEL,98,1.0,1.0
TED-ZHANG-SHASHA::12→12::None::None::None,12,98,1.0,1.0
TED-ZHANG-SHASHA::6→6::None::None::None,6,96,1.0,1.0
TED-KLEIN::10→10::None::None::None::None,10,95,1.0,1.0
TED-KLEIN::10→10::None::None::None::None::None::None::None::None::None::None,10,95,1.0,1.0
DEP-REL-CHG::amod→det::None::None::None::None,det,94,1.0,1.0
DEP-REL-CHG::amod→det::None::None::None::None::None::None::None::None::None::None,det,94,1.0,1.0
TED-RTED::6→6::None::None::None,6,94,1.0,1.0
C-ADD::VERB-ADD→ABSENT::None::None::None::None,ABSENT,93,1.0,1.0
C-ADD::VERB-ADD→ABSENT::None::None::None::None::None::None::None::None::None::None,ABSENT,93,1.0,1.0
FEAT-CHG::Tense=Pres→Tense=Past::None::None::None,Tense=Past,92,1.0,1.0
DEP-REL-CHG::obj→mark::None::None::None,mark,92,1.0,1.0
DEP-REL-CHG::case→nmod::None::None::None,nmod,92,1.0,1.0
TED-RTED::19→19::None::None::None,19,88,1.0,1.0
DEP-REL-CHG::nummod→root::None::None::None,root,88,1.0,1.0
CONST-ADD::ADJP-ADD→ABSENT::None::None::None,ABSENT,88,1.0,1.0
DEP-REL-CHG::mark→root::None::None::None,root,86,1.0,1.0
TED-ZHANG-SHASHA::13→13::None::None::None,13,86,1.0,1.0
DEP-REL-CHG::punct→case::None::None::None::None,case,86,1.0,1.0
DEP-REL-CHG::punct→case::None::None::None::None::None::None::None::None::None::None,case,86,1.0,1.0
DEP-REL-CHG::amod→case::None::None::None::None,case,84,1.0,1.0
DEP-REL-CHG::amod→case::None::None::None::None::None::None::None::None::None::None,case,84,1.0,1.0
DEP-REL-CHG::mark→nsubj::None::None::None,nsubj,84,1.0,1.0
DEP-REL-CHG::compound→punct::None::None::None::None,punct,84,1.0,1.0
DEP-REL-CHG::compound→punct::None::None::None::None::None::None::None::None::None::None,punct,84,1.0,1.0
DEP-REL-CHG::compound→aux::None::None::None,aux,84,1.0,1.0
DEP-REL-CHG::compound→obl::None::None::None,obl,84,1.0,1.0
DEP-REL-CHG::punct→obj::None::None::None,obj,84,1.0,1.0
HEAD-CHG::3→4::None::None::None,4,84,1.0,1.0
DEP-REL-CHG::obj→compound::None::None::None::None,compound,83,1.0,1.0
DEP-REL-CHG::obj→compound::None::None::None::None::None::None::None::None::None::None,compound,83,1.0,1.0
DEP-REL-CHG::obj→nsubj::None::None::None,nsubj,82,1.0,1.0
POS-CHG::NOUN→VERB::None::None::None,VERB,82,1.0,1.0
DEP-REL-CHG::obj→punct::None::None::None,punct,82,1.0,1.0
DEP-REL-CHG::case→compound::None::None::None::None,compound,81,1.0,1.0
DEP-REL-CHG::case→compound::None::None::None::None::None::None::None::None::None::None,compound,81,1.0,1.0
TED-KLEIN::14→14::None::None::None::None,14,81,1.0,1.0
TED-KLEIN::14→14::None::None::None::None::None::None::None::None::None::None,14,81,1.0,1.0
TED-ZHANG-SHASHA::9→9::None::None::None,9,80,1.0,1.0
DEP-REL-CHG::root→case::None::None::None::None,case,80,1.0,1.0
DEP-REL-CHG::root→case::None::None::None::None::None::None::None::None::None::None,case,80,1.0,1.0
CONST-REM::ABSENT→VP-REM::None::None::None,VP-REM,80,1.0,1.0
CONST-ADD::SBAR-ADD→ABSENT::None::None::None,ABSENT,80,1.0,1.0
FW-ADD::ADP-ADD→ABSENT::None::None::None::None,ABSENT,79,1.0,1.0
FW-ADD::ADP-ADD→ABSENT::None::None::None::None::None::None::None::None::None::None,ABSENT,79,1.0,1.0
DEP-REL-CHG::advcl→mark::None::None::None,mark,78,1.0,1.0
DEP-REL-CHG::obj→amod::None::None::None,amod,78,1.0,1.0
DEP-REL-CHG::obl→det::None::None::None::None,det,78,1.0,1.0
DEP-REL-CHG::obl→det::None::None::None::None::None::None::None::None::None::None,det,78,1.0,1.0
LENGTH-CHG::10→13::None::None::None,13,78,1.0,1.0
TED-KLEIN::15→15::None::None::None,15,78,1.0,1.0
TED-RTED::9→9::None::None::None,9,78,1.0,1.0
LENGTH-CHG::12→16::None::None::None,16,78,1.0,1.0
TED-KLEIN::16→16::None::None::None::None,16,76,1.0,1.0
TED-KLEIN::16→16::None::None::None::None::None::None::None::None::None::None,16,76,1.0,1.0
DEP-REL-CHG::case→mark::None::None::None,mark,76,1.0,1.0
CLAUSE-TYPE-CHG::Fin→Ger::None::None::None::None,Ger,76,1.0,1.0
CLAUSE-TYPE-CHG::Fin→Ger::None::None::None::None::None::None::None::None::None::None,Ger,76,1.0,1.0
TED-RTED::18→18::None::None::None,18,76,1.0,1.0
TED-KLEIN::13→13::None::None::None,13,76,1.0,1.0
TED-ZHANG-SHASHA::14→14::None::None::None,14,76,1.0,1.0
DEP-REL-CHG::punct→compound::None::None::None::None,compound,76,1.0,1.0
DEP-REL-CHG::punct→compound::None::None::None::None::None::None::None::None::None::None,compound,76,1.0,1.0
DEP-REL-CHG::appos→punct::None::None::None,punct,76,1.0,1.0
DEP-REL-CHG::compound→root::None::None::None::None,root,75,1.0,1.0
DEP-REL-CHG::compound→root::None::None::None::None::None::None::None::None::None::None,root,75,1.0,1.0
TED-KLEIN::12→12::None::None::None::None,12,75,1.0,1.0
TED-KLEIN::12→12::None::None::None::None::None::None::None::None::None::None,12,75,1.0,1.0
TED-RTED::17→17::None::None::None,17,74,1.0,1.0
LENGTH-CHG::11→15::None::None::None,15,74,1.0,1.0
DEP-REL-CHG::root→punct::None::None::None,punct,74,1.0,1.0
DEP-REL-CHG::nmod→obj::None::None::None,obj,74,1.0,1.0
DEP-REL-CHG::compound→nummod::None::None::None,nummod,74,1.0,1.0
DEP-REL-CHG::punct→root::None::None::None,root,74,1.0,1.0
DEP-REL-CHG::obj→det::None::None::None::None,det,73,1.0,1.0
DEP-REL-CHG::obj→det::None::None::None::None::None::None::None::None::None::None,det,73,1.0,1.0
DEP-REL-CHG::nsubj→case::None::None::None,case,72,1.0,1.0
DEP-REL-CHG::nsubj→nsubj:pass::None::None::None,nsubj:pass,72,1.0,1.0
DEP-REL-CHG::punct→det::None::None::None::None,det,72,1.0,1.0
DEP-REL-CHG::punct→det::None::None::None::None::None::None::None::None::None::None,det,72,1.0,1.0
DEP-REL-CHG::root→det::None::None::None::None,det,72,1.0,1.0
DEP-REL-CHG::root→det::None::None::None::None::None::None::None::None::None::None,det,72,1.0,1.0
DEP-REL-CHG::compound→obj::None::None::None,obj,72,1.0,1.0
DEP-REL-CHG::case→nsubj::None::None::None::None,nsubj,71,1.0,1.0
DEP-REL-CHG::case→nsubj::None::None::None::None::None::None::None::None::None::None,nsubj,71,1.0,1.0
LENGTH-CHG::11→14::None::None::None,14,70,1.0,1.0
DEP-REL-CHG::nmod→obl::None::None::None,obl,70,1.0,1.0
TED-ZHANG-SHASHA::7→7::None::None::None,7,70,1.0,1.0
FW-ADD::PRON-PERS-ADD→ABSENT::None::None::None,ABSENT,70,1.0,1.0
DEP-REL-CHG::aux→nsubj::None::None::None,nsubj,68,1.0,1.0
CONST-REM::ABSENT→PP-REM::None::None::None,PP-REM,68,1.0,1.0
DEP-REL-CHG::root→aux:pass::None::None::None,aux:pass,68,1.0,1.0
FW-ADD::AUX-ADD→ABSENT::None::None::None,ABSENT,68,1.0,1.0
DEP-REL-CHG::acl→aux::None::None::None,aux,68,1.0,1.0
DEP-REL-CHG::nummod→case::None::None::None,case,68,1.0,1.0
DEP-REL-CHG::obl→compound::None::None::None::None,compound,66,1.0,1.0
DEP-REL-CHG::obl→compound::None::None::None::None::None::None::None::None::None::None,compound,66,1.0,1.0
DEP-REL-CHG::obl→amod::None::None::None,amod,66,1.0,1.0
TED-RTED::7→7::None::None::None,7,66,1.0,1.0
DEP-REL-CHG::nmod→amod::None::None::None,amod,66,1.0,1.0
DEP-REL-CHG::mark→aux::None::None::None::None,aux,66,1.0,1.0
DEP-REL-CHG::mark→aux::None::None::None::None::None::None::None::None::None::None,aux,66,1.0,1.0
TED-ZHANG-SHASHA::16→16::None::None::None,16,66,1.0,1.0
TED-KLEIN::20→20::None::None::None,20,66,1.0,1.0
DEP-REL-CHG::case→aux::None::None::None::None,aux,65,1.0,1.0
DEP-REL-CHG::case→aux::None::None::None::None::None::None::None::None::None::None,aux,65,1.0,1.0
TED-ZHANG-SHASHA::17→17::None::None::None,17,64,1.0,1.0
DEP-REL-CHG::compound→mark::None::None::None,mark,64,1.0,1.0
DEP-REL-CHG::compound→amod::None::None::None::None,amod,64,1.0,1.0
DEP-REL-CHG::compound→amod::None::None::None::None::None::None::None::None::None::None,amod,64,1.0,1.0
DEP-REL-CHG::amod→compound::None::None::None,compound,64,1.0,1.0
TED-ZHANG-SHASHA::19→19::None::None::None,19,64,1.0,1.0
DEP-REL-CHG::amod→nsubj::None::None::None,nsubj,64,1.0,1.0
DEP-REL-CHG::obj→advcl::None::None::None,advcl,64,1.0,1.0
DEP-REL-CHG::root→nsubj:pass::None::None::None::None,nsubj:pass,63,1.0,1.0
DEP-REL-CHG::root→nsubj:pass::None::None::None::None::None::None::None::None::None::None,nsubj:pass,63,1.0,1.0
DEP-REL-CHG::nmod→det::None::None::None::None,det,62,1.0,1.0
DEP-REL-CHG::nmod→det::None::None::None::None::None::None::None::None::None::None,det,62,1.0,1.0
TED-RTED::22→22::None::None::None,22,62,1.0,1.0
DEP-REL-CHG::xcomp→root::None::None::None,root,62,1.0,1.0
TED-RTED::23→23::None::None::None,23,62,1.0,1.0
DEP-REL-CHG::acl→root::None::None::None,root,62,1.0,1.0
TED-ZHANG-SHASHA::18→18::None::None::None,18,62,1.0,1.0
TED-RTED::11→11::None::None::None::None,11,61,1.0,1.0
TED-RTED::11→11::None::None::None::None::None::None::None::None::None::None,11,61,1.0,1.0
TED-RTED::8→8::None::None::None::None,8,61,1.0,1.0
TED-RTED::8→8::None::None::None::None::None::None::None::None::None::None,8,61,1.0,1.0
DEP-REL-CHG::compound→nsubj::None::None::None::None,nsubj,60,1.0,1.0
DEP-REL-CHG::compound→nsubj::None::None::None::None::None::None::None::None::None::None,nsubj,60,1.0,1.0
DEP-REL-CHG::case→aux:pass::None::None::None::None,aux:pass,60,1.0,1.0
DEP-REL-CHG::case→aux:pass::None::None::None::None::None::None::None::None::None::None,aux:pass,60,1.0,1.0
DEP-REL-CHG::root→amod::None::None::None,amod,60,1.0,1.0
DEP-REL-CHG::obl→punct::None::None::None,punct,60,1.0,1.0
DEP-REL-CHG::det→root::None::None::None,root,60,1.0,1.0
DEP-REL-CHG::nummod→det::None::None::None,det,60,1.0,1.0
HEAD-CHG::2→3::None::None::None::None,3,58,1.0,1.0
HEAD-CHG::2→3::None::None::None::None::None::None::None::None::None::None,3,58,1.0,1.0
DEP-REL-CHG::case→obl::None::None::None::None,obl,58,1.0,1.0
DEP-REL-CHG::case→obl::None::None::None::None::None::None::None::None::None::None,obl,58,1.0,1.0
LENGTH-CHG::13→17::None::None::None,17,58,1.0,1.0
C-ADD::ADJ-ADD→ABSENT::None::None::None::None,ABSENT,58,1.0,1.0
C-ADD::ADJ-ADD→ABSENT::None::None::None::None::None::None::None::None::None::None,ABSENT,58,1.0,1.0
DEP-REL-CHG::nsubj→root::None::None::None,root,58,1.0,1.0
DEP-REL-CHG::nmod:poss→det::None::None::None,det,58,1.0,1.0
DEP-REL-CHG::nsubj→amod::None::None::None::None,amod,57,1.0,1.0
DEP-REL-CHG::nsubj→amod::None::None::None::None::None::None::None::None::None::None,amod,57,1.0,1.0
DEP-REL-CHG::amod→punct::None::None::None::None,punct,57,1.0,1.0
DEP-REL-CHG::amod→punct::None::None::None::None::None::None::None::None::None::None,punct,57,1.0,1.0
DEP-REL-CHG::amod→root::None::None::None::None,root,57,1.0,1.0
DEP-REL-CHG::amod→root::None::None::None::None::None::None::None::None::None::None,root,57,1.0,1.0
DEP-REL-CHG::case→nmod:poss::None::None::None::None,nmod:poss,57,1.0,1.0
DEP-REL-CHG::case→nmod:poss::None::None::None::None::None::None::None::None::None::None,nmod:poss,57,1.0,1.0
DEP-REL-CHG::obl→root::None::None::None::None,root,57,1.0,1.0
DEP-REL-CHG::obl→root::None::None::None::None::None::None::None::None::None::None,root,57,1.0,1.0
DEP-REL-CHG::case→cc::None::None::None,cc,56,1.0,1.0
LENGTH-CHG::12→14::None::None::None,14,56,1.0,1.0
DEP-REL-CHG::root→compound::None::None::None::None,compound,56,1.0,1.0
DEP-REL-CHG::root→compound::None::None::None::None::None::None::None::None::None::None,compound,56,1.0,1.0
DEP-REL-CHG::nsubj→mark::None::None::None,mark,56,1.0,1.0
TED-ZHANG-SHASHA::20→20::None::None::None,20,56,1.0,1.0
TED-KLEIN::17→17::None::None::None,17,56,1.0,1.0
LENGTH-CHG::12→15::None::None::None,15,56,1.0,1.0
DEP-REL-CHG::case→xcomp::None::None::None,xcomp,56,1.0,1.0
LENGTH-CHG::13→16::None::None::None,16,56,1.0,1.0
DEP-REL-CHG::obl→aux:pass::None::None::None,aux:pass,56,1.0,1.0
DEP-REL-CHG::conj→cc::None::None::None,cc,56,1.0,1.0
LENGTH-CHG::11→16::None::None::None,16,54,1.0,1.0
DEP-REL-CHG::punct→amod::None::None::None,amod,54,1.0,1.0
DEP-REL-CHG::advmod→root::None::None::None,root,54,1.0,1.0
DEP-REL-CHG::nmod:poss→case::None::None::None,case,54,1.0,1.0
LENGTH-CHG::9→12::None::None::None,12,54,1.0,1.0
DEP-REL-CHG::punct→nummod::None::None::None,nummod,54,1.0,1.0
TED-RTED::13→13::None::None::None::None,13,53,1.0,1.0
TED-RTED::13→13::None::None::None::None::None::None::None::None::None::None,13,53,1.0,1.0
TED-KLEIN::18→18::None::None::None::None,18,53,1.0,1.0
TED-KLEIN::18→18::None::None::None::None::None::None::None::None::None::None,18,53,1.0,1.0
TED-RTED::12→12::None::None::None::None,12,53,1.0,1.0
TED-RTED::12→12::None::None::None::None::None::None::None::None::None::None,12,53,1.0,1.0
TED-ZHANG-SHASHA::8→8::None::None::None::None,8,52,1.0,1.0
TED-ZHANG-SHASHA::8→8::None::None::None::None::None::None::None::None::None::None,8,52,1.0,1.0
TED-KLEIN::21→21::None::None::None,21,52,1.0,1.0
TED-ZHANG-SHASHA::21→21::None::None::None,21,52,1.0,1.0
DEP-REL-CHG::case→amod::None::None::None::None,amod,52,1.0,1.0
DEP-REL-CHG::case→amod::None::None::None::None::None::None::None::None::None::None,amod,52,1.0,1.0
DEP-REL-CHG::punct→nsubj::None::None::None,nsubj,52,1.0,1.0
DEP-REL-CHG::flat→compound::None::None::None,compound,52,1.0,1.0
TED-ZHANG-SHASHA::10→10::None::None::None::None,10,51,1.0,1.0
TED-ZHANG-SHASHA::10→10::None::None::None::None::None::None::None::None::None::None,10,51,1.0,1.0
