newspaper,sentence_id,parse_type,feature_id,feature_name,mnemonic,canonical_value,headline_value,canonical_context,headline_context,added_punctuation,position,context,before,after,deleted_punctuation
The-Hindu,3,constituency,TED-KLEIN,Tree Edit Distance (Klein Memoized Tree Edit Distance),TED-KLEN,13,13,A teenager in Haryana was gang-raped twice in three months.,Haryana teen ‘gang-raped’ twice in three months,,,,,,
The-Hindu,3,constituency,TED-RTED,Tree Edit Distance (Robust Tree Edit Distance (RTED)),TED-RTED,18,18,A teenager in Haryana was gang-raped twice in three months.,Haryana teen ‘gang-raped’ twice in three months,,,,,,
The-Hindu,3,both,PUNCT-ADD,Punctuation Addition,PUNCT-ADD,,apostrophe,A teenager in Haryana was gang-raped twice in three months.,Haryana teen ‘gang-raped’ twice in three months,apostrophe,-1.0,Haryana teen ‘gang-raped’ twice in three,,,
The-Hindu,3,both,H-STRUCT,Headline Structure,H-STRUCT,,single-line,A teenager in Haryana was gang-raped twice in three months.,Haryana teen ‘gang-raped’ twice in three months,,,,,,
The-Hindu,3,both,H-TYPE,Headline Type,H-TYPE,,fragment,A teenager in Haryana was gang-raped twice in three months.,Haryana teen ‘gang-raped’ twice in three months,,,,,,
The-Hindu,3,constituency,TREE-DEPTH-DIFF,Tree Depth Difference,TREE-DEPTH-DIFF,6,6,A teenager in Haryana was gang-raped twice in three months.,Haryana teen ‘gang-raped’ twice in three months,,,,,,
The-Hindu,3,constituency,CONST-COUNT-DIFF,Constituent Count Difference,CONST-COUNT-DIFF,24,19,A teenager in Haryana was gang-raped twice in three months.,Haryana teen ‘gang-raped’ twice in three months,,,,,,
The-Hindu,3,dependency,DEP-DIST-DIFF,Dependency Distance Difference,DEP-DIST-DIFF,2.42,2.00,A teenager in Haryana was gang-raped twice in three months.,Haryana teen ‘gang-raped’ twice in three months,,,,,,
The-Hindu,3,constituency,BRANCH-DIFF,Branching Factor Difference,BRANCH-DIFF,2.09,2.25,A teenager in Haryana was gang-raped twice in three months.,Haryana teen ‘gang-raped’ twice in three months,,,,,,
The-Hindu,4,dependency,FW-DEL,Function Word Deletion,FW-DEL,AUX-DEL,ABSENT,Elections in 27 districts will be held on December 27 and 30.,"Elections in 27 districts to be held on December 27, 30",,,,,,
The-Hindu,4,dependency,FW-DEL,Function Word Deletion,FW-DEL,CCONJ-DEL,ABSENT,Elections in 27 districts will be held on December 27 and 30.,"Elections in 27 districts to be held on December 27, 30",,,,,,
The-Hindu,4,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,nsubj:pass,root,Elections in 27 districts will be held on December 27 and 30.,"Elections in 27 districts to be held on December 27, 30",,,,,,
The-Hindu,4,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,aux,mark,Elections in 27 districts will be held on December 27 and 30.,"Elections in 27 districts to be held on December 27, 30",,,,,,
The-Hindu,4,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,root,acl,Elections in 27 districts will be held on December 27 and 30.,"Elections in 27 districts to be held on December 27, 30",,,,,,
The-Hindu,4,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,obl,compound,Elections in 27 districts will be held on December 27 and 30.,"Elections in 27 districts to be held on December 27, 30",,,,,,
The-Hindu,4,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,nummod,obl,Elections in 27 districts will be held on December 27 and 30.,"Elections in 27 districts to be held on December 27, 30",,,,,,
The-Hindu,4,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,cc,punct,Elections in 27 districts will be held on December 27 and 30.,"Elections in 27 districts to be held on December 27, 30",,,,,,
The-Hindu,4,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,conj,nmod:unmarked,Elections in 27 districts will be held on December 27 and 30.,"Elections in 27 districts to be held on December 27, 30",,,,,,
The-Hindu,4,dependency,HEAD-CHG,Dependency Head Change,HEAD-CHG,9,10,Elections in 27 districts will be held on December 27 and 30.,"Elections in 27 districts to be held on December 27, 30",,,,,,
The-Hindu,4,dependency,LENGTH-CHG,Sentence Length Change,LENGTH-CHG,13,12,Elections in 27 districts will be held on December 27 and 30.,"Elections in 27 districts to be held on December 27, 30",,,,,,
The-Hindu,4,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-POST,CONST-POST,Elections in 27 districts will be held on December 27 and 30.,"Elections in 27 districts to be held on December 27, 30",,,,,,
The-Hindu,4,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Elections in 27 districts will be held on December 27 and 30.,"Elections in 27 districts to be held on December 27, 30",,,,,,
